id,season,games_played,pt_diff,win,result_ATS_avg,pts_roll_1,opp_pts_roll_1,fg_roll_1,fga_roll_1,fg%_roll_1,3p_roll_1,3pa_roll_1,3p%_roll_1,ft_roll_1,fta_roll_1,ft%_roll_1,orb_roll_1,trb_roll_1,ast_roll_1,stl_roll_1,blk_roll_1,tov_roll_1,pf_roll_1,ortg_roll_1,drtg_roll_1,pace_roll_1,ftr_roll_1,3par_roll_1,ts%_roll_1,trb%_roll_1,ast%_roll_1,stl%_roll_1,blk%_roll_1,efg%_roll_1,tov%_roll_1,orb%_roll_1,ft/fga_roll_1,drb%_roll_1,pt_diff_roll_1,away_pts_roll_1,away_opp_pts_roll_1,away_fg_roll_1,away_fga_roll_1,away_fg%_roll_1,away_3p_roll_1,away_3pa_roll_1,away_3p%_roll_1,away_ft_roll_1,away_fta_roll_1,away_ft%_roll_1,away_orb_roll_1,away_trb_roll_1,away_ast_roll_1,away_stl_roll_1,away_blk_roll_1,away_tov_roll_1,away_pf_roll_1,away_ortg_roll_1,away_drtg_roll_1,away_pace_roll_1,away_ftr_roll_1,away_3par_roll_1,away_ts%_roll_1,away_trb%_roll_1,away_ast%_roll_1,away_stl%_roll_1,away_blk%_roll_1,away_efg%_roll_1,away_tov%_roll_1,away_orb%_roll_1,away_ft/fga_roll_1,away_drb%_roll_1,away_pt_diff_roll_1,nrtg_roll_1,away_nrtg_roll_1,average_home_ML,average_away_ML,consec_away,away_consec_away,days_since_last,away_days_since_last,back2back,away_back2back
2020-12-27_CHO_BRK,2021,3,2,1,1,107.0,109.0,37.0,93.0,0.39799999999999996,13.0,32.0,0.406,20.0,32.0,0.625,13.0,47.0,27.0,11.0,8.0,13.0,22.0,102.8,104.7,104.1,0.3439999999999999,0.344,0.4999999999999999,46.5,73.0,10.599999999999998,15.4,0.468,10.800000000000002,22.399999999999995,0.215,79.1,-2.0,123.0,95.0,41.0,76.0,0.5389999999999999,15.0,29.0,0.5169999999999999,26.0,31.0,0.8390000000000002,9.0,43.0,21.0,5.0,10.0,15.0,22.0,129.2,99.79999999999998,95.2,0.408,0.382,0.6859999999999999,47.8,51.20000000000001,5.300000000000002,14.1,0.638,14.300000000000002,25.000000000000004,0.342,62.99999999999999,28.0,-1.9000000000000057,29.40000000000001,462.8571428571428,-625.5,0,2,1,2,1,0
2021-01-01_CHO_MEM,2021,5,-15,0,0,118.0,99.0,43.0,84.0,0.512,15.0,34.0,0.4409999999999999,17.0,21.0,0.8100000000000002,12.0,50.0,30.0,6.0,6.0,23.0,28.0,117.2,98.4,100.6,0.24999999999999994,0.405,0.633,56.2,69.79999999999998,5.999999999999999,13.3,0.601,19.800000000000004,31.599999999999994,0.202,74.50000000000001,19.0,107.0,126.0,40.0,93.0,0.43,9.0,33.0,0.2729999999999999,18.0,25.0,0.7200000000000001,14.0,46.0,26.0,8.0,3.0,22.0,13.0,102.10000000000002,120.2,104.79999999999998,0.2690000000000001,0.355,0.5140000000000002,52.3,65.0,7.599999999999996,5.8000000000000025,0.478,17.499999999999993,30.4,0.194,76.19999999999997,-19.0,18.8,-18.09999999999998,-187.14285714285717,164.28571428571428,0,3,2,2,0,0
2021-01-09_CHO_ATL,2021,10,8,1,1,118.0,110.0,41.0,87.0,0.4710000000000002,16.0,42.0,0.38099999999999984,20.0,25.0,0.7999999999999999,16.0,45.0,33.0,10.0,4.0,14.0,20.0,125.60000000000004,117.1,94.00000000000004,0.2869999999999998,0.483,0.6019999999999999,55.60000000000001,80.49999999999996,10.599999999999998,10.299999999999997,0.563,12.5,38.09999999999999,0.22999999999999995,74.4,8.0,94.0,102.0,36.0,96.0,0.37500000000000017,7.0,40.0,0.17499999999999988,15.0,18.0,0.833,12.0,57.0,25.0,6.0,1.0,13.0,25.0,93.89999999999996,101.79999999999998,100.20000000000002,0.188,0.4170000000000001,0.4520000000000002,53.8,69.4,6.0,2.0,0.4109999999999999,11.099999999999996,22.6,0.1560000000000001,84.90000000000002,-8.0,8.500000000000043,-7.900000000000019,166.5,-193.0,0,1,1,3,1,0
2021-01-11_CHO_NYK,2021,11,21,1,1,113.0,105.0,40.0,77.0,0.5190000000000002,15.0,33.0,0.4549999999999999,18.0,24.0,0.7499999999999998,6.0,41.0,27.0,11.0,7.0,15.0,19.0,119.00000000000004,110.5,95.00000000000006,0.3119999999999998,0.4290000000000001,0.6449999999999999,46.600000000000016,67.49999999999993,11.599999999999996,15.899999999999995,0.617,14.6,16.69999999999998,0.234,67.29999999999998,8.0,89.0,114.0,32.0,74.0,0.4320000000000003,6.0,21.0,0.2859999999999999,19.0,25.0,0.7599999999999999,8.0,36.0,19.0,4.0,1.0,16.0,15.0,97.20000000000006,124.5,91.6,0.338,0.2839999999999997,0.5240000000000002,45.59999999999999,59.40000000000001,4.400000000000004,1.9999999999999984,0.4729999999999999,15.8,18.6,0.257,77.80000000000003,-25.0,8.500000000000043,-27.299999999999944,-189.875,166.25,0,1,2,1,0,1
2021-01-13_CHO_DAL,2021,12,-11,0,0,109.0,88.0,38.0,78.0,0.4870000000000002,13.0,32.0,0.4059999999999999,20.0,23.0,0.8699999999999997,5.0,37.0,28.0,8.0,8.0,10.0,13.0,120.10000000000002,96.9,90.80000000000008,0.29499999999999976,0.41,0.6179999999999999,43.00000000000002,73.69999999999993,8.799999999999997,15.999999999999995,0.5710000000000002,10.2,13.499999999999984,0.256,65.29999999999997,21.0,112.0,98.0,39.0,79.0,0.4939999999999999,20.0,40.0,0.5000000000000001,14.0,18.0,0.7779999999999998,6.0,44.0,25.0,5.0,8.0,17.0,17.0,116.59999999999997,102.1,96.0,0.2280000000000001,0.506,0.6439999999999996,50.6,64.09999999999998,5.199999999999998,13.8,0.6199999999999999,16.4,15.400000000000007,0.177,79.20000000000002,14.0,23.200000000000014,14.499999999999973,131.75,-150.55555555555554,0,1,2,4,0,0
2021-01-22_CHO_CHI,2021,15,-13,0,0,113.0,116.0,38.0,87.0,0.4370000000000004,15.0,36.0,0.4169999999999997,22.0,29.0,0.7589999999999995,12.0,48.0,26.0,6.0,5.0,14.0,20.0,111.80000000000004,114.70000000000002,101.10000000000004,0.3329999999999998,0.414,0.5659999999999998,52.70000000000004,68.39999999999993,5.900000000000002,13.499999999999993,0.5230000000000001,12.300000000000004,24.999999999999986,0.253,83.69999999999995,-3.0,125.0,120.0,43.0,92.0,0.4670000000000005,20.0,45.0,0.444,19.0,21.0,0.905,10.0,47.0,23.0,10.0,3.0,17.0,19.0,116.30000000000008,111.59999999999998,107.50000000000004,0.228,0.4889999999999999,0.6169999999999997,56.600000000000016,53.49999999999999,9.300000000000004,6.3000000000000025,0.5760000000000002,14.4,22.70000000000001,0.207,94.90000000000002,5.0,-2.8999999999999773,4.700000000000101,-146.42857142857142,128.42857142857142,0,1,6,4,0,0
2021-01-27_CHO_IND,2021,18,-10,0,0,108.0,117.0,39.0,89.0,0.4380000000000003,11.0,38.0,0.2889999999999997,19.0,27.0,0.7039999999999995,11.0,41.0,22.0,5.0,6.0,14.0,20.0,107.20000000000003,116.1,100.80000000000004,0.30299999999999977,0.4270000000000001,0.5349999999999999,45.600000000000016,56.399999999999935,5.000000000000002,11.799999999999995,0.5000000000000003,12.200000000000005,21.999999999999986,0.213,74.99999999999993,-9.0,129.0,114.0,40.0,78.0,0.513,12.0,29.0,0.4139999999999999,37.0,45.0,0.8219999999999998,7.0,45.0,26.0,5.0,8.0,13.0,25.0,129.50000000000003,114.50000000000006,99.60000000000004,0.5770000000000001,0.3719999999999997,0.6600000000000001,53.600000000000016,65.00000000000001,5.000000000000004,14.500000000000005,0.5900000000000002,11.700000000000005,21.200000000000006,0.4740000000000001,74.50000000000003,15.0,-8.899999999999963,14.999999999999973,124.375,-144.71428571428572,0,1,2,2,0,0
2021-01-29_CHO_IND,2021,19,3,1,1,106.0,116.0,37.0,90.0,0.4110000000000002,13.0,38.0,0.3419999999999998,19.0,21.0,0.9049999999999996,11.0,39.0,28.0,3.0,3.0,11.0,14.0,112.80000000000004,123.4,94.00000000000004,0.23299999999999985,0.42200000000000004,0.5339999999999999,45.30000000000002,75.69999999999993,3.200000000000003,6.299999999999994,0.4830000000000003,10.000000000000004,23.399999999999977,0.21099999999999994,71.79999999999995,-10.0,116.0,106.0,45.0,88.0,0.511,16.0,40.0,0.3999999999999999,10.0,12.0,0.8329999999999997,11.0,47.0,34.0,1.0,9.0,12.0,19.0,123.40000000000003,112.80000000000008,94.00000000000006,0.136,0.4549999999999996,0.622,54.70000000000001,75.60000000000002,1.1000000000000032,17.300000000000004,0.6020000000000002,11.40000000000001,28.20000000000001,0.1140000000000001,76.60000000000002,10.0,-10.599999999999966,10.599999999999953,147.57142857142858,-166.42857142857142,0,2,2,2,0,0
2021-02-03_CHO_PHI,2021,22,-7,0,0,129.0,121.0,43.0,95.0,0.4530000000000003,21.0,41.0,0.5119999999999997,22.0,26.0,0.8459999999999993,13.0,44.0,31.0,6.0,4.0,11.0,22.0,125.40000000000006,117.70000000000002,93.10000000000002,0.2739999999999998,0.43200000000000016,0.6059999999999999,47.80000000000002,72.09999999999992,5.8000000000000025,8.899999999999991,0.5630000000000002,9.400000000000002,25.499999999999986,0.23199999999999998,75.59999999999997,8.0,119.0,110.0,45.0,92.0,0.4890000000000002,8.0,26.0,0.30800000000000005,21.0,31.0,0.6770000000000003,14.0,44.0,20.0,9.0,8.0,12.0,21.0,118.79999999999997,109.8,100.09999999999998,0.33700000000000024,0.2830000000000001,0.5630000000000002,51.79999999999993,44.40000000000005,9.000000000000002,14.3,0.5329999999999997,10.2,30.4,0.228,76.89999999999995,9.0,7.700000000000045,8.999999999999973,243.25,-297.5,0,3,2,3,0,0
2021-02-05_CHO_UTA,2021,23,-17,0,0,111.0,118.0,39.0,87.0,0.4480000000000002,14.0,37.0,0.3779999999999997,19.0,23.0,0.8259999999999993,10.0,37.0,28.0,5.0,4.0,16.0,22.0,112.00000000000006,119.1,99.10000000000002,0.2639999999999998,0.4250000000000001,0.5710000000000001,48.10000000000004,71.79999999999994,5.000000000000004,7.299999999999995,0.5290000000000001,14.1,24.999999999999986,0.21799999999999994,72.99999999999997,-7.0,112.0,91.0,44.0,91.0,0.4840000000000002,13.0,27.0,0.4809999999999999,11.0,13.0,0.8459999999999998,12.0,52.0,19.0,7.0,4.0,14.0,20.0,117.39999999999992,95.4,95.4,0.14300000000000002,0.29699999999999993,0.5790000000000002,51.50000000000001,43.2,7.299999999999994,5.999999999999997,0.555,12.599999999999996,27.899999999999977,0.12099999999999987,69.0,21.0,-7.0999999999999375,21.999999999999915,300.8333333333333,-365.0,0,2,2,1,0,1
